i,qp,i-period,frame index,bitcount
8,0,1,0,500008
8,0,1,1,497080
8,0,1,2,495648
8,0,1,3,499400
8,0,1,4,499768
8,0,1,5,500840
8,0,1,6,502408
8,0,1,7,503280
8,0,1,8,502240
8,0,1,9,504400
8,0,4,0,500008
8,0,4,1,401728
8,0,4,2,401200
8,0,4,3,389008
8,0,4,4,499768
8,0,4,5,394416
8,0,4,6,367464
8,0,4,7,405432
8,0,4,8,502232
8,0,4,9,386776
8,3,1,0,256672
8,3,1,1,254728
8,3,1,2,253040
8,3,1,3,256976
8,3,1,4,258016
8,3,1,5,258760
8,3,1,6,258872
8,3,1,7,260984
8,3,1,8,261456
8,3,1,9,261728
8,3,4,0,256672
8,3,4,1,172880
8,3,4,2,175048
8,3,4,3,168024
8,3,4,4,258016
8,3,4,5,169384
8,3,4,6,148384
8,3,4,7,177944
8,3,4,8,261448
8,3,4,9,161056
8,6,1,0,94424
8,6,1,1,93056
8,6,1,2,92208
8,6,1,3,94344
8,6,1,4,95392
8,6,1,5,96360
8,6,1,6,96448
8,6,1,7,94480
8,6,1,8,95784
8,6,1,9,96336
8,6,4,0,94424
8,6,4,1,30688
8,6,4,2,32768
8,6,4,3,30848
8,6,4,4,95392
8,6,4,5,29240
8,6,4,6,26144
8,6,4,7,27616
8,6,4,8,95792
8,6,4,9,26640
8,9,1,0,27312
8,9,1,1,27464
8,9,1,2,27904
8,9,1,3,28120
8,9,1,4,28112
8,9,1,5,28272
8,9,1,6,28696
8,9,1,7,28648
8,9,1,8,28856
8,9,1,9,29560
8,9,4,0,27312
8,9,4,1,10064
8,9,4,2,10192
8,9,4,3,9624
8,9,4,4,28128
8,9,4,5,12040
8,9,4,6,11592
8,9,4,7,10816
8,9,4,8,28864
8,9,4,9,11440
